n      |Время рекурсии (с)    |Время итерации (с)    |Значение рекурсии     |Значение итерации     
--------------------------------------------------------------------------------------------------------------
1      |0.0                   |0.0                   |1                     |1                     
2      |0.0                   |0.0                   |3                     |3                     
3      |0.0                   |0.0                   |7                     |7                     
4      |0.0                   |0.0                   |15                    |15                    
5      |0.0                   |0.0                   |33                    |33                    
6      |0.0                   |0.0                   |73                    |73                    
7      |0.0                   |0.0                   |161                   |161                   
8      |0.0                   |0.0                   |355                   |355                   
9      |0.0                   |0.0                   |783                   |783                   
10     |0.0                   |0.0                   |1727                  |1727                  
11     |0.0                   |0.0                   |3809                  |3809                  
12     |0.0                   |0.0                   |8401                  |8401                  
13     |0.0                   |0.0                   |18529                 |18529                 
14     |0.0                   |0.0                   |40867                 |40867                 
15     |0.0                   |0.0                   |90135                 |90135                 
16     |0.0                   |0.0                   |198799                |198799                
17     |0.0                   |0.0                   |438465                |438465                
18     |0.0009937286376953125 |0.0                   |967065                |967065
19     |0.0                   |0.0                   |2132929               |2132929
20     |0.0                   |0.0                   |4704323               |4704323
21     |0.0010006427764892578 |0.0                   |10375711              |10375711
22     |0.0                   |0.0                   |22884351              |22884351
23     |0.0009999275207519531 |0.0                   |50473025              |50473025
24     |0.0010008811950683594 |0.0                   |111321761             |111321761
25     |0.0020003318786621094 |0.0                   |245527873             |245527873
26     |0.0030002593994140625 |0.0                   |541528771             |541528771
27     |0.00400090217590332   |0.0                   |1194379303            |1194379303
28     |0.007001161575317383  |0.0                   |2634286479            |2634286479
29     |0.009001970291137695  |0.0                   |5810101729            |5810101729
30     |0.013003826141357422  |0.0                   |12814582761           |12814582761
31     |0.0200040340423584    |0.0                   |28263452001           |28263452001
32     |0.028006315231323242  |0.0                   |62337005731           |62337005731
33     |0.04100799560546875   |0.0                   |137488594223          |137488594223
34     |0.06101512908935547   |0.0                   |303240640447          |303240640447
35     |0.0912637710571289    |0.0                   |668818286625          |668818286625
36     |0.13258934020996094   |0.0                   |1475125167473         |1475125167473
37     |0.19104361534118652   |0.0                   |3253490975393         |3253490975393
38     |0.2830626964569092    |0.0                   |7175800237411         |7175800237411
39     |0.41554737091064453   |0.0                   |15826725642295        |15826725642295
40     |0.6031358242034912    |0.0                   |34906942259983        |34906942259983
41     |0.8832340240478516    |0.0                   |76989684757377        |76989684757377
42     |1.2918636798858643    |0.0                   |169806095157049       |169806095157049
43     |1.907264232635498     |0.0                   |374519132574081       |374519132574081
44     |2.787722587585449     |0.0                   |826027949905539       |826027949905539
45     |4.10440993309021      |0.0                   |1821861994968127      |1821861994968127
46     |6.021756410598755     |0.0                   |4018243122510335      |4018243122510335
47     |8.823513507843018     |0.0                   |8862514194926209      |8862514194926209
48     |12.922913312911987    |0.0                   |19546890384820545     |19546890384820545
49     |18.903767824172974    |0.0                   |43112023892151425     |43112023892151425
50     |27.664225339889526    |0.0                   |95086561979229059     |95086561979229059
51     |40.68020582199097     |0.0010006427764892578 |209720014343278663    |209720014343278663
52     |59.274866819381714    |0.0                   |462552052578708751    |462552052578708751
53     |87.207275390625       |0.0                   |1020190667136646561   |1020190667136646561
54     |127.74492049217224    |0.0                   |2250101348616571785   |2250101348616571785
55     |187.5899956226349     |0.0                   |4962754749811852321   |4962754749811852321
